ID,text,target
ynat-v1_train_02570_ev,"중국, 유엔 제재 강화에 동참하며 국제 압력 가세",6
ynat-v1_train_02571_ev,"'A' 대표, 6면체 조립 실패로 '숙제 미션' 불발",5
ynat-v1_train_02573_ev,유아 및 어린이를 위한 새로운 PC 게임 출시,3
ynat-v1_train_02574_ev,"박근혜 대통령, 4일 장관들과 회의 개최",2
ynat-v1_train_02575_ev,"우크라이나 침공 기준 공개: 정부, 국회 질의에 답변",5
ynat-v1_train_02580_ev,"시인 박상욱, 현대문학에서 여섯 번째 시집 출간",0
ynat-v1_train_02581_ev,"캡틴, 리그 랭킹 9위에 오르다",1
ynat-v1_train_02582_ev,"유엔, 1정의 움직임에 우려 표명하며 국제사회 공동 대응 촉구",6
ynat-v1_train_02583_ev,"박C, 김재F 홈런포 가동하며 두산, 승리 견인",1
ynat-v1_train_02585_ev,"Y성, 갤럭시와 디지털 기술로 도약: 스마트 시티 구축 박차",5
ynat-v1_train_02587_ev,"규모 7.0 강진, 700명 사망... 건물 붕괴 및 쓰나미 우려",6
ynat-v1_train_02589_ev,"봄철 나비떼, 1,000마리 넘게 관측",0
ynat-v1_train_02591_ev,"공직자 윤리위원회, 병원에서 발급받은 의료비 영수증 신고 가능하도록 규정 완화",3
ynat-v1_train_02592_ev,"대통령과 재벌 총수의 면담 배경과 경위, 검찰 수사 착수",2
ynat-v1_train_02594_ev,"'극단적 예술 행위 논란: 꽃을 이용한 퍼포먼스, 예술의 경계 넘나들다'",0
ynat-v1_train_02596_ev,"상황 파악은 했지만, 여전히 불편한 현실:  '상황선 일 아는데… 편'",0
ynat-v1_train_02598_ev,"한국노총, 새 위원장 선출: 조직 개혁과 노동 현안 해결 과제",3
ynat-v1_train_02601_ev,"SK, IBM과 손잡고 인공지능 브랜드 '에이브' 출범: 기업용 AI 시장 공략 본격화",4
ynat-v1_train_02602_ev,"박근혜 전 대통령, 핵무장 필요성 주장하며 외교 정책 논란 재점화",2
ynat-v1_train_02604_ev,"브라질 대통령, 부패 스캔들로 인해 탄핵 위기 고조: 언론 및 세프, 탄핵 가능성 높다고 주장",6
ynat-v1_train_02606_ev,미국 실업률 4.5%로 지난 달 유지,6
ynat-v1_train_02607_ev,"국내 주식시장, 외국인 투자자 자금 지속 유입으로 상승세 지속",5
ynat-v1_train_02608_ev,뇌의 특정 영역이 학습 능력 향상에 중요한 역할을 한다는 연구 결과 발표,4
ynat-v1_train_02609_ev,"미 국무부, 북한의 최근 미사일 발사 규탄하며 국제 사회의 단합 촉구",6
ynat-v1_train_02610_ev,"네덜란드 커피 전문점, 지역 주민들에게 풍미 가득한 커피 경험 선사하며 문을 열다",5
ynat-v1_train_02611_ev,"EU, 167DI 56W 프랑 대비 최대 42% 하락",6
ynat-v1_train_02615_ev,"대통령, 탁월한 공헌으로 [수상자 이름]에게 표창 수여",3
ynat-v1_train_02616_ev,"제주도 산간 지역, 호우경보 발효: 폭우 예상, 주민 대비 필요",0
ynat-v1_train_02617_ev,"평화당과 민생당, 연대를 통한 지지층 확대 노린다",2
ynat-v1_train_02618_ev,"학교폭력 가해자 처벌 강화 촉구: 학생, 학부모, 시민 사회의 목소리",3
ynat-v1_train_02619_ev,알 카에다와 인도 당국 간의 충돌로 인해 사망자가 발생하다,6
ynat-v1_train_02621_ev,중소기업 지원 위한 '중기 펀드'와 한국 경제 활성화 목표 '코리아 펀드' 출범,5
ynat-v1_train_02622_ev,"더뱅커 선정, 대한민국 DR 브랜드 순위 31위에 오른 [브랜드 이름]",5
ynat-v1_train_02624_ev,2천 년 전 길을 따라 발견된 5페이 유적 벽화: 고대 생활의 단서를 밝히다,6
ynat-v1_train_02625_ev,"CES 2023, 중저가 스마트폰 시장 공략: 주요 제조사, 새로운 보급형 모델 대거 공개",4
ynat-v1_train_02626_ev,"3분기 영업이익 797억원, 전년 동기 대비 83% 급증하며 실적 호조 지속",5
ynat-v1_train_02629_ev,"SBS, 삼성 관련 연이은 보도로 논란 확산",3
ynat-v1_train_02630_ev,"울산 총기 사건, 용의자 검거로 종료",3
ynat-v1_train_02631_ev,"FC, 시즌 5승 달성하며 상승세 이어가…롯데는 연패 늪에 빠져",1
ynat-v1_train_02632_ev,여행 사진과 이미지 프레스: 두 가지 비주얼 스토리텔링 전략 비교,0
ynat-v1_train_02634_ev,"아가메즈, 4년 8개월 만에 국제 기구 지원 받아: 식량 부족과 폭력으로 고통받는 지역 주민들에게 희망의 빛",1
ynat-v1_train_02637_ev,"두산, LG 상대로 6승 12무 7패 기록하며 팽팽한 승부 펼쳐",1
ynat-v1_train_02638_ev,한국 여행객의 '트립 깃발' 열풍: 개인의 취향과 경험을 담은 새로운 여행 트렌드,6
ynat-v1_train_02641_ev,"류현진과 선발 로테이션 경쟁 중인 셔저, 7이닝 무실점 호투로 존재감 과시",1
ynat-v1_train_02642_ev,소니아 고지: 새로운 업데이트와 주요 발표 예상,1
ynat-v1_train_02643_ev,"판결문 공개 여부 놓고 여당과 정부, 첨예한 대립",2
ynat-v1_train_02644_ev,"류현진, 1위 자리 굳건히 지키며 강정호의 맹활약으로 출루율 상승",1
ynat-v1_train_02646_ev,"김우, 롯데전 첫 이닝 무실점 호투로 승리 선물",1
ynat-v1_train_02647_ev,"IMF 총재, 미·중 무역 전쟁 심화 우려 경고: 세계 경제 성장 둔화 가능성 제기",6
ynat-v1_train_02648_ev,"7안컵 선발단장 자리, 7영일 축구 부회장이 지원하며 경쟁 심화",1
ynat-v1_train_02651_ev,"만법 통과, 실질적인 사회 변화로 이어질까? 법률 전문가 및 시민단체 의견 분석",6
ynat-v1_train_02652_ev,모바일 인터넷 사용자 수 급증: 연결성의 새로운 시대,4
ynat-v1_train_02655_ev,"그래픽 업스케일링: 게임, 영화, 사진을 위한 새로운 기술 혁신",5
ynat-v1_train_02656_ev,지난해 국내 비트코인 거래 규모 1조원 돌파,5
ynat-v1_train_02658_ev,"트럼프 행정 명령, 베네수엘라 석유 산업에 타격 줄 듯: 미국의 제재 강화로 경제 위기 심화 우려",6
ynat-v1_train_02659_ev,"코로나19 백신 접종 후 발생 가능한 부작용, 상세 분석 결과 공개",4
ynat-v1_train_02660_ev,"회사채 시장, 급격한 매각세에 휩싸이며 폭락",5
ynat-v1_train_02661_ev,"DJI, 장애물 회피 기능 탑재한 최신 드론 출시: 안전성과 편의성 강화",4
ynat-v1_train_02662_ev,"박재동 화가, 성추문 논란 이후 회고록 출간: 피해자들의 반응은?",3
