id,text,target
gemini-00000,"국내 최초 5G 기반 자율주행 버스 시범 운행 시작, 4",13
gemini-00001,"""가짜 뉴스 척결, AI 기술로 가능해졌다!"" 네이버, AI 기반 뉴스 검증 시스템 도입, 4",13
gemini-00002,"챗GPT, 2023년 AI 시장의 혁명을 예고하다, 4",13
gemini-00003,"게임업계, NFT 도입 열풍…새로운 수익 모델 찾기 위한 경쟁 심화, 4",13
gemini-00004,"코로나19 팬데믹, 항공업계 회복 늦어지나…국제선 운항 감소 지속, 5",13
gemini-00005,"미국 연준, 금리 인상 속도 조절…경기 침체 우려 커져, 5",13
gemini-00006,"""ESG 경영, 기업의 필수 요소가 되었다"" 기업들의 ESG 경영 도입 가속화, 5",13
gemini-00007,"러시아-우크라이나 전쟁 장기화…유럽 경제에 미치는 영향 심각, 6",13
gemini-00008,"탈레반 정권, 여성 인권 탄압 지속…국제사회 비난 쏟아져, 6",13
gemini-00009,"기후변화 심각성 경고…지구 온도 상승, 극심한 기상 현상 증가, 6",13
gemini-00010,"**카카오페이, 간편결제 시장 점유율 1위 굳히기, 4**",13
gemini-00011,"**SK하이닉스, 차세대 D램 기술 개발로 반도체 시장 선도, 4**",13
gemini-00012,"**미얀마 군부 쿠데타, 국제 사회 규탄 봇물, 6**",13
gemini-00013,"**러시아, 우크라이나 침공 지속…국제 사회 제재 강화, 6**",13
gemini-00014,"**국민의힘, 차기 대선 후보 경쟁 본격화…당내 경쟁 심화, 2**",13
gemini-00015,"**민주당, 내년 지방선거 승리 위한 총력전…여론 조사 결과 분석, 2**",13
gemini-00016,"**이재명, 대선 출마 공식 선언…정책 비전 제시, 2**",13
gemini-00017,"LG전자, 차세대 스마트폰 'LG V60' 공개…5G·AI 강화,4",13
gemini-00018,"국내 증시, 美 금리 인상 우려에 혼조세…코스피 0.2% 하락,5",13
gemini-00019,"북한, 신형 탄도미사일 시험 발사…국제사회 긴장 고조,6",13
gemini-00020,"국내 자동차 시장, 전기차 시대 본격화…현대차·기아차 신모델 출시 경쟁, 4",13
gemini-00021,"챗GPT 열풍, 교육 현장에도 불어닥쳐…교육부, 챗GPT 활용 가이드라인 발표, 4",13
gemini-00022,"코로나19 이후, 여행 트렌드 변화…'안전'과 '개인 맞춤형' 여행 주목, 4",13
gemini-00023,"러시아-우크라이나 전쟁 장기화…국제 유가 급등, 5",13
gemini-00024,"중국 경제 성장 둔화 우려…글로벌 경제 불안감 확산, 5",13
gemini-00025,"이스라엘-팔레스타인 분쟁 재점화…국제사회 우려, 6",13
gemini-00026,"북한 미사일 도발 지속…한미 동맹 강화, 6",13
gemini-00027,"챗GPT, 구글 검색 엔진 시장 점령할까…경쟁 심화,4",13
gemini-00028,"네이버, 인공지능 기반 뉴스 추천 서비스 출시…개인 맞춤형 정보 제공,4",13
gemini-00029,"삼성전자, 차세대 폴더블폰 출시…갤럭시 Z 플립 2,4",13
gemini-00030,"페이스북, 개인정보보호 강화…데이터 수집 제한 계획 발표, 4",13
gemini-00031,"넷플릭스, 한국 콘텐츠 투자 확대…'오징어 게임' 시즌2 제작 확정, 4",13
gemini-00032,"미국, 중국 반도체 산업 규제 강화…기술 패권 경쟁 심화, 6",13
gemini-00033,"윤석열 대통령, 국민과의 대화…경제 위기 극복 방안 논의, 2",13
gemini-00034,"이재명 대표, 검찰 소환 통보에 불응…정치적 탄압 주장, 2",13
gemini-00035,"국회, 예산안 협상 난항…여야 대치 심화 우려, 2",13
gemini-00036,"카카오페이, 금융시장 지배력 강화 위한 '카카오뱅크 인수' 추진, 5",13
gemini-00037,"'인공지능 챗봇' 도입 확산, 고객센터 업무 효율성 극대화, 4",13
gemini-00038,"국내 게임업계, 글로벌 시장 공략 위한 '블록체인 게임' 개발 박차, 4",13
gemini-00039,"美 대선 결과, 글로벌 증시에 미칠 영향은?, 5",13
gemini-00040,"LG전자, 차세대 OLED TV 공개… 8K 해상도와 인공지능 기능 탑재,4",13
gemini-00041,"카카오뱅크, 신용대출 금리 인하… 경쟁 심화 속 고객 유치 전략,5",13
gemini-00042,"코로나19 백신 개발 경쟁… 국내 제약사, 임상시험 본격화,4",13
gemini-00043,"유럽연합, 플라스틱 사용 규제 강화… 친환경 소재 개발 가속화,4",13
gemini-00044,"서울시, 미세먼지 저감 대책 발표… 친환경 교통 시스템 구축,4",13
gemini-00045,"미중 무역 전쟁 장기화… 세계 경제 불확실성 증가,5",13
gemini-00046,"국회, 탄소중립 목표 법제화 논의… 녹색 경제 전환 가속화,4",13
gemini-00047,"대통령, 코로나19 극복 위한 국민 대화… 사회적 거리두기 강화,2",13
gemini-00048,"야당, 정부의 부동산 정책 실패 비판… 집값 상승 억제 실패 지적,2",13
gemini-00049,"국내 증시, 2분기 실적 발표 시즌…기업들의 성적표는?,5",13
gemini-00050,"한국 첫 우주인 배출 프로젝트, 2025년 발사 목표, 4",13
gemini-00051,"갤럭시 Z 플립4, 힌지 강화 및 배터리 성능 향상, 4",13
gemini-00052,"부동산 시장 침체, 전세난 심화, 5",13
gemini-00053,"일본, 후쿠시마 원전 오염수 방류 결정, 6",13
gemini-00054,"난민 문제, 유럽 국가들 간 갈등 심화, 6",13
gemini-00055,"정치 개혁 논의, 국민적 관심 고조, 2",13
gemini-00056,"대통령 지지율 하락, 국정 운영 난항, 2",13
gemini-00057,"차기 총선, 정치 지형 변화 예상, 2",13
gemini-00058,"한미 정상회담, 북핵 문제 해결 위한 공동 노력 강조, 2",13
gemini-00059,"'토스' 사용자 1,000만 돌파…금융 서비스 시장 지각변동 예고, 5",13
gemini-00060,"서울 강남, 고급 주택 매매가격 상승세 지속, 5",13
gemini-00061,"코로나19 백신 접종률 증가, 경제 활성화 기대, 5",13
gemini-00062,"한국 정부, 기후변화 대응 위한 탄소중립 목표 설정, 5",13
