ID,text,target
ynat-v1_dev_00004,더빙하는 도종환 장관,2
ynat-v1_dev_00006,평양서 새해 불꽃놀이 열려…예고보다 21시간 늦어,2
ynat-v1_dev_00015,문대통령 순방중 北 비핵화 협상중단 시사 내용 보고받아,2
ynat-v1_dev_00018,문 대통령 박정훈 SBS 사장과 인사,2
ynat-v1_dev_00031,北 금연연구보급기지 설립…금연운동 본격화하나,2
ynat-v1_dev_00041,국방위 北핵실험 사전포착 실패 한 목소리로 질타,2
ynat-v1_dev_00056,얘기 나누는 조명균 장관과 송영길 위원장,2
ynat-v1_dev_00059,황 대행과 노회찬 원내대표 인사,2
ynat-v1_dev_00063,올림픽 태권도 시범 리허설 갑니다,2
ynat-v1_dev_00082,朴대통령與지도부 오찬회동 종료…1시간50분 진행속보,2
ynat-v1_dev_00104,황총리 사회간접자본 확충해 경제활력 회복하겠다,2
ynat-v1_dev_00105,靑 촛불 속 한해 마감…朴대통령 세밑 탄핵심판 대비 열공,2
ynat-v1_dev_00115,조태용 1차장 내일 방미…美와 사드·북한 문제 포괄 협의,2
ynat-v1_dev_00123,여야 국회정상화 합의 진통…오후 4시 본회의 소집종합,2
ynat-v1_dev_00126,반기문 남북대화·인도지원 언급…정부 정책과 온도차종합,2
ynat-v1_dev_00127,北 핵억제력 강화조치 연속적 취할 것…美에 통보문,2
ynat-v1_dev_00132,北 김정은 대남도발 軍부대 왜 갔나…참수작전 맞대응 행보,2
ynat-v1_dev_00147,문 대통령 재활용 폐기물 혼란으로 국민께 불편끼쳐 송구,2
ynat-v1_dev_00152,민주·평화·정의 태안화력 노동자 사망에 위험외주화 막아야종합,2
ynat-v1_dev_00155,與 탈당 무소속 흰색 바람 부나…같은색 옷 맞추고 연대,2
ynat-v1_dev_00156,당정 檢특수부 인력 등 활용해 형사·공판부 충원 검토종합2보,2
ynat-v1_dev_00157,상명대 제7회 전국동시지방선거 사진전 한라에서 DMZ까지,2
ynat-v1_dev_00161,한국당 원내대표 경선 중진 4파전…재선 다크호스 주목종합,2
ynat-v1_dev_00164,특권귀족노조 대책 세미나 자료 살펴보는 황교안,2
ynat-v1_dev_00176,북 수소탄실험 김정은 수소탄 발언 보도후 27일만에 단행,2
ynat-v1_dev_00186,朴대통령 이철성 경찰청장 공식임명…오후 4시 취임식,2
ynat-v1_dev_00193,野 정부 구조조정 계획에 책임 규명 미흡 비판,2
ynat-v1_dev_00206,김한길 탈당후 첫 일정 DJ 참배…DJ는 정치적 아버지,2
ynat-v1_dev_00218,문대통령 위안부 화해치유재단 기능 못 해…사실상 해산 시사종합,2
ynat-v1_dev_00232,이해찬 문대통령 방미 후 당에서 대미외교 특사단 파견,2
ynat-v1_dev_00240,지방재정개혁안에 與 격차해소 野 자치역행,2
ynat-v1_dev_00246,한국당 국민신뢰 상실·보수기반 와해 반성합니다,2
ynat-v1_dev_00257,바른미래 국회 사개특위 위원 권은희·이태규로 교체,2
ynat-v1_dev_00275,국민의당 마지막 최고위원회의,2
ynat-v1_dev_00285,서울 은평을 더민주정의당 후보 단일화 합의,2
ynat-v1_dev_00287,개헌 시기…대선前 47.6%·차기 정부 41.2%,2
ynat-v1_dev_00296,남북정상회담 미소 짓는 남북정상,2
ynat-v1_dev_00302,與 19대 국회서 무산된 중점법안 20대 국회서 당론발의종합,2
ynat-v1_dev_00304,朴대통령 시민사회 원로 면담…최순실 수습 의견 수렴,2
ynat-v1_dev_00307,사드배치 결정 더민주 반대는 안해…당내 재검토 주장도종합,2
ynat-v1_dev_00309,與 分黨 하루 앞두고 의총…정우택 분열할 기세로 뭉치자,2
ynat-v1_dev_00311,김문수 서울형 최저소득보장제 실시하겠다,2
ynat-v1_dev_00318,北 핵개발 수준은…2017년까지 완성 가능할까,2
ynat-v1_dev_00319,연합이매진 서울 잠실에서 西海를 보다,2
ynat-v1_dev_00333,무소속 출마·재심청구…강원 컷오프 반발로 요동종합,2
ynat-v1_dev_00334,우상호 靑회동 대통령이 일방적 협조 구하는 자리는 안돼,2
ynat-v1_dev_00337,남북정상회담 극비리 주말 판문점行… 전격 대좌,2
ynat-v1_dev_00340,北 김정은 청년운동사적관 시찰,2
ynat-v1_dev_00346,답변하는 이상돈 의원,2
ynat-v1_dev_00349,김영철 김정은폼페이오 면담 불참 까닭…北 美반감 고려한듯,2
ynat-v1_dev_00363,대북제재 완화 공론화 문대통령…안보리 5강 佛·英 집중 공략,2
