ID,text,target,label
ynat-v1_train_00026,STJ레콤 J분기 영D익t4천105t…2>1％ 증가,5,unnatural
ynat-v1_train_00245,"MLB+명장 바비 콕스 k3n,로xC4",1,unnatural
ynat-v1_train_00330,KT Be Y 폰 2 단독 출시,3,unnatural
ynat-v1_train_00741,게시판 SKT AI 콘퍼런스 ai.x 2019 개최,6,unnatural
ynat-v1_train_00785,지난달 f| @분양 %F3천268채?7개월 연속 v소세,5,unnatural
ynat-v1_train_00837,삼MdSK3Co그룹주 P재용w영V기각에 동반 랠리,5,unnatural
ynat-v1_train_00858,한국MS 윈도10 IoT 에디션 출시…B2B 공략,5,natural
ynat-v1_train_00874,한국기자8@ 창립P15[년 9념m,3,unnatural
ynat-v1_train_00876,충북?대@로|맑다가 밤부터 구름e낮 최고g17AR[도,0,unnatural
ynat-v1_train_00888,"간편결제 i 1위yL모바일결OICi…삼성페 ""2U",5,unnatural
ynat-v1_train_00982,회전 카메라 탑재한 갤럭시A80 SKT 단독출시…59만9천500원,4,natural
ynat-v1_train_01080,여자농구 KB국민은행 20182019 시즌권 11일부터 판매,4,natural
ynat-v1_train_01116,삼성H재 극적인 역전D…tB손oh1R연패 늪J로,1,unnatural
ynat-v1_train_01187,HDC 부동산114 자회사로 편입,6,natural
ynat-v1_train_01225,세계 첫 5G폰 갤럭시S10 5G 출고가 139만7천원 확정종합,5,natural
ynat-v1_train_01265,Q국`j아온 uZ처P축제…코믹콘 /0k개막,0,unnatural
ynat-v1_train_01362,KT 멀티캠퍼스와 기가지니 SERICEO 서비스 론칭,1,natural
ynat-v1_train_01376,이스라엘*+레스타인v!v지구 공Y…로L5발사J 대t,6,unnatural
ynat-v1_train_01776,LGU 5G SA 상용화 준비…SA 기술 NSA 코어 장비에 연동 검증,5,natural
ynat-v1_train_01927,메리츠종금 내년 코스피 1900∼2400 등락,1,natural
ynat-v1_train_02098,2대차7O인승 JUV`&리세이6 출시…3천40$rJ대& 시작,5,unnatural
ynat-v1_train_02111,SKT 세계 최초 5G 가입자 100만 명 돌파,5,natural
ynat-v1_train_02325,ix탄 2. 맨유b사우샘프0I꺾고 EFL컵 우승,1,unnatural
ynat-v1_train_02370,세계 첫 AI 축구 월드컵 KAIST서 개막…12개국 29팀 참가,2,natural
ynat-v1_train_02653,2·(\독립$@ 100주년…도쿄·서u서 기념식 거행종합W보,3,unnatural
ynat-v1_train_00018,개R전 연w정연H 작가,0,unnatural
ynat-v1_train_00030,해외로밍 m금폭탄 n동차단 더 빨$진다,4,unnatural
ynat-v1_train_00033,학~ 석면 S거 규정k지키5,3,unnatural
ynat-v1_train_00041,다저스 _버츠 감독J류현4 담당 포수!최! 환^ 만들P...,1,unnatural
ynat-v1_train_00053,코로나 r대^등교)모습,3,unnatural
ynat-v1_train_00055,스마트폰'b실 막는 스l트 트%커,4,unnatural
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,2,natural
ynat-v1_train_00074,월드9U천재 사령탑 S시코 !'O오 감독 한국전R...,1,unnatural
ynat-v1_train_00076,北조국통!민주X#전선 결성 <0돌 중;보고회 열x,2,unnatural
ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역2년…악의적 공격 반복종합,5,natural
ynat-v1_train_00090,서울문고 N풍그U에 인수… f라인서점 교m영풍y양강d도로,0,unnatural
ynat-v1_train_00111,세아트 드라이빙 시뮬레이터,5,natural
