ID,Original Text,Cleaned Text,target
ynat-v1_train_00000,정i :파1 미사z KT( 이용기간 2e 단] Q분종U2보,"KT, 이용기간 2년 단축",4
ynat-v1_train_00001,K찰.국DLwo 로L3한N% 회장 2 T0&}송=,"""K찰, 국회의장 2명 송치""",3
ynat-v1_train_00002,"m 김정) 자주통일 새,?r열1나가야1보","""김정은, 자주통일 새롭게 나아가야""",2
ynat-v1_train_00004,pI美대선I앞두고 R2fr단 발] $비해 감시 강화,미 대선 앞두고 러시아 해킹 감시 강화,6
ynat-v1_train_00006,프로야구~롯TKIAs광주 경기 y천취소,프로야구 롯데-KIA 광주 경기 취소,1
ynat-v1_train_00010,oi 매력 R모h츠a열#w3약 >l·주가 고Q/진,"##  ""모하비 열풍, 주가 고공행진""",5
ynat-v1_train_00013,아이`XSI수리0* b대`…맥3 디dF레< 41/',"""아이폰 수리, 맥북 디스플레이 교체""",4
ynat-v1_train_00014,"문/인 당2 4nS 민관2동7사위 /""X보 철거tt","## 민관 2동 7사위, ""X보 철거""",2
ynat-v1_train_00018,개R전 연w정연H 작가,"""전 연정연 작가""",0
ynat-v1_train_00021,KIA I수단·팬nI께하는:호kQ4M족 한마5 S최,"KIA, 팬들에게 감사 인사 전해",1
ynat-v1_train_00022,현N차sJ <e 임원6늘려…~세z 리g (보j 육y,"## 현대차, 임원 6명 늘린다",3
ynat-v1_train_00025,-선 폭:n@ 현장N조Z,"## 선 폭, 현장 조사 결과 발표",3
ynat-v1_train_00027,생r인증②_D안*a제bK 유@되면 대J _가끝,"## 생체인증 도입, 서비스 이용 끝",4
ynat-v1_train_00028,GD n{n.강d}감독 2로축구연맹WS7(0/회부,"""감독 2호 축구연맹에 회부""",1
ynat-v1_train_00029,"p-축구M인천 ,qN 35c운드 r&Q{영`","인천, 35℃ 폭염 속 축구 경기 열기 뜨겁다",1
ynat-v1_train_00030,해외로밍 m금폭탄 n동차단 더 빨$진다,"## 해외 로밍, 폭탄처럼 빨라진다",4
ynat-v1_train_00031,세계K인무역협회 올S#$'2 무역인 1천b55w 배출한(,"## 세계무역협회, 무역인 1천550명 배출",3
ynat-v1_train_00032,박항C 매직c베트남i축구_표팀K.?^# 쏟;*:d,"박항서 감독, 베트남 축구 대표팀 이끌다",1
ynat-v1_train_00033,학~ 석면 S거 규정k지키5,석면 규정 지켜야,3
ynat-v1_train_00037,"dcST C, 생산 인공광Fy에d""기보다BS에*!6활ht""y@적","##  ""생산 인공광, DCST C 기보다 효과적""",4
ynat-v1_train_00041,다저스 _버츠 감독J류현4 담당 포수!최! 환^ 만들P...,"다저스, 버츠 감독 체제 하에 담당 포수 확정!",1
ynat-v1_train_00042,W;E& F일 연k상t의장 G견u창조경제 논의,"##  ""창조경제 논의, WEF 연차총회서 열려""",2
ynat-v1_train_00044,산업생산jQ8째 L고 제조1가동률은-금융위jS수yk합2보,"## 산업 생산 증가, 제조업 가동률 상승",5
ynat-v1_train_00045,x' 유^ 의H%eprM못gz고r사표…특별1LX제 흔들,"""특별 제품 흔들""",3
ynat-v1_train_00046,5자농R 4R은행f삼[m명 꺾$N$직@P {,"""5명 농구팀, 4개 은행 직원 꺾어""",1
ynat-v1_train_00047,"김종ll리먼 ^라더스 사태처럼 6Mq 충격@지속""KIN을 것","김종인 라더스 사태, 충격 지속",2
ynat-v1_train_00048,"Vq)Z!\자o구 김정Re트로1$보니C.도l모르"".Qk이","""김정은, 트로트 보니 춤 실력 모르겠다""",1
ynat-v1_train_00049,"인국공I{태NL년D의 bT,무jlv공u{고?진보인가","## 인공지능, 진보인가?",3
ynat-v1_train_00050,"美MBA[여성 비율x계속 x가4주$E19a대 U입생 중Ym,%","## 미국 MBA, 여성 비율 꾸준히 증가",6
ynat-v1_train_00052,위클>&스PS)[플코리아7f] 한국서e얼마나 벌!을',"""한국에서 얼마나 벌 수 있을까?""",4
ynat-v1_train_00053,코로나 r대^등교)모습,"""코로나 시대 등교 모습""",3
ynat-v1_train_00054,"찍W ,fK는 즐거m T졌다…5개 카메: LG V40 z큐","LG V40, 5개 카메라로 촬영의 즐거움 선사",4
ynat-v1_train_00055,스마트폰'b실 막는 스l트 트%커,## 스마트폰 분실 막는 스마트 트래커,4
ynat-v1_train_00057,"문대통령 김정*m트/프7 YTD 조속히H끝내고 A다고!,p2합","문 대통령, 김정은 회담 조속히 마무리",2
ynat-v1_train_00058,한#M2 !는 유`8 치료제 오B솔 美 임{ 3a 본격화,"##  ""한**M2** 치료제 개발 본격화""",6
ynat-v1_train_00059,아사w 트K프 외교S험k없다고…i5오바I도]KR<8였-,,6
ynat-v1_train_00062,"CT|2fSSt0 877vA자 10만명 돌,",## 10만 명 돌파,5
ynat-v1_train_00064,유라1아3경w연합r?회q상품/|M3교환 합의,"## 유럽 연합, 상품 교환 합의",5
ynat-v1_train_00065,3부 리수cW^MT北d국제사회<-임M일원!V는데 기4JR9,"3부, 국제사회 일원!",2
ynat-v1_train_00067,x콩-P면금[T 나%\…g트=물J1h나고 지>철 %기고,"##  ""콩나물 값 폭등, 지하철 이용객 증가""",6
ynat-v1_train_00069,T선 D1v 울`B경i활성화;고용안S %&소7?합,"## D1v 활성화, 고용 안정에 도움 될까?",2
ynat-v1_train_00074,월드9U천재 사령탑 S시코 !'O오 감독 한국전R...,"## 월드컵 사령탑 S 감독, 한국전 승리 자신감",1
ynat-v1_train_00075,특O:H6호에k' Gc모&h금조달에 52P 신고가,"## 특허 6호, 금조달에 52P 신고",5
ynat-v1_train_00076,北조국통!민주X#전선 결성 <0돌 중;보고회 열x,"## 북한, 민주주의 전선 결성 보고회 개최",2
ynat-v1_train_00077,"aGma일!리""c $산 _R…법정=l 내 처리>W요","## ""법정, 내 처리 요구""",5
ynat-v1_train_00079,본t카 애스턴마틴 Sp라 국내 4P…500대g 생산,"## 애스턴마틴, 국내 500대 생산",0
ynat-v1_train_00082,추신수 시g경기~o종^ 2j넷b타율|0.21u,"추신수, 경기 종료 후 타율 0.21 기록",1
ynat-v1_train_00083,#Ca유영준:왕웨이+ $직 조심스러워…h구 h 805+)내,,1
ynat-v1_train_00084,ip*한국사이버[제 U분기 영업익ux0u원?!.G$ 감소,"## 한국사이버, 2분기 영업익 감소",5
ynat-v1_train_00086,~리비{3Qn'9 신분 변:+허용…의료u서로 사전w입p해야,"""의료 서비스 이용, 사전 예약 필수""",6
ynat-v1_train_00087,"수능 6?'{=""원)%&G울 문O서 h개한 \꽃Z","## 수능 6개월 앞두고, 울 문서 공개",0
