ID,target_file1,target_file2
ynat-v1_train_00003,4,5
ynat-v1_train_00005,6,0
ynat-v1_train_00008,2,6
ynat-v1_train_00015,4,0
ynat-v1_train_00019,4,2
ynat-v1_train_00023,1,6
ynat-v1_train_00024,0,1
ynat-v1_train_00036,0,5
ynat-v1_train_00038,1,5
ynat-v1_train_00051,4,0
ynat-v1_train_00056,6,4
ynat-v1_train_00060,0,2
ynat-v1_train_00061,1,5
ynat-v1_train_00063,2,5
ynat-v1_train_00070,4,3
ynat-v1_train_00072,6,3
ynat-v1_train_00073,5,1
ynat-v1_train_00081,0,3
ynat-v1_train_00085,4,5
ynat-v1_train_00099,6,1
ynat-v1_train_00100,6,5
ynat-v1_train_00104,1,0
ynat-v1_train_00117,0,2
ynat-v1_train_00118,6,3
ynat-v1_train_00119,3,1
ynat-v1_train_00140,0,5
ynat-v1_train_00143,2,4
ynat-v1_train_00144,0,4
ynat-v1_train_00145,1,0
ynat-v1_train_00148,4,2
ynat-v1_train_00150,5,6
ynat-v1_train_00151,4,2
ynat-v1_train_00162,2,6
ynat-v1_train_00164,6,4
ynat-v1_train_00165,6,1
ynat-v1_train_00166,4,1
ynat-v1_train_00173,3,0
ynat-v1_train_00175,6,4
ynat-v1_train_00176,2,0
ynat-v1_train_00182,0,1
ynat-v1_train_00183,3,1
ynat-v1_train_00185,5,2
ynat-v1_train_00186,5,6
ynat-v1_train_00189,0,1
ynat-v1_train_00193,4,1
ynat-v1_train_00194,3,1
ynat-v1_train_00207,3,0
ynat-v1_train_00208,2,5
ynat-v1_train_00212,2,6
ynat-v1_train_00213,1,4
ynat-v1_train_00220,4,1
ynat-v1_train_00222,6,4
ynat-v1_train_00223,4,6
ynat-v1_train_00224,2,1
ynat-v1_train_00227,3,4
ynat-v1_train_00230,1,6
ynat-v1_train_00232,0,2
ynat-v1_train_00234,6,1
ynat-v1_train_00235,0,4
ynat-v1_train_00242,1,3
ynat-v1_train_00251,4,0
ynat-v1_train_00253,6,2
ynat-v1_train_00254,4,1
ynat-v1_train_00255,0,2
ynat-v1_train_00259,4,3
ynat-v1_train_00260,4,1
ynat-v1_train_00262,0,6
ynat-v1_train_00265,4,6
ynat-v1_train_00269,1,4
ynat-v1_train_00270,2,1
ynat-v1_train_00271,6,0
ynat-v1_train_00272,2,3
ynat-v1_train_00273,0,6
ynat-v1_train_00277,5,3
ynat-v1_train_00279,1,4
ynat-v1_train_00281,0,6
ynat-v1_train_00282,1,4
ynat-v1_train_00283,0,3
ynat-v1_train_00286,6,1
ynat-v1_train_00288,0,4
ynat-v1_train_00289,2,4
ynat-v1_train_00292,4,3
ynat-v1_train_00293,2,0
ynat-v1_train_00294,1,6
ynat-v1_train_00295,6,1
ynat-v1_train_00301,1,2
ynat-v1_train_00304,2,5
ynat-v1_train_00308,4,5
ynat-v1_train_00309,2,1
ynat-v1_train_00310,4,3
ynat-v1_train_00311,2,0
ynat-v1_train_00312,2,0
ynat-v1_train_00314,4,1
ynat-v1_train_00315,6,1
ynat-v1_train_00316,0,3
ynat-v1_train_00318,1,5
ynat-v1_train_00319,5,6
ynat-v1_train_00321,2,0
ynat-v1_train_00326,0,6
ynat-v1_train_00328,0,5
ynat-v1_train_00331,0,6
ynat-v1_train_00333,4,6
ynat-v1_train_00336,6,4
ynat-v1_train_00337,2,3
ynat-v1_train_00344,5,1
ynat-v1_train_00352,1,3
ynat-v1_train_00355,3,2
ynat-v1_train_00357,0,1
ynat-v1_train_00359,2,4
ynat-v1_train_00360,5,6
ynat-v1_train_00361,5,4
ynat-v1_train_00365,1,3
ynat-v1_train_00366,4,6
ynat-v1_train_00372,0,2
ynat-v1_train_00373,6,0
ynat-v1_train_00374,6,5
ynat-v1_train_00375,0,5
ynat-v1_train_00377,4,1
ynat-v1_train_00382,2,5
ynat-v1_train_00383,0,2
ynat-v1_train_00384,2,6
ynat-v1_train_00387,0,2
ynat-v1_train_00388,1,0
ynat-v1_train_00390,6,4
ynat-v1_train_00395,3,6
ynat-v1_train_00396,0,6
ynat-v1_train_00402,4,0
ynat-v1_train_00404,6,3
ynat-v1_train_00406,6,1
ynat-v1_train_00407,5,4
ynat-v1_train_00408,3,0
ynat-v1_train_00409,1,4
ynat-v1_train_00413,2,6
